VE,VE Transmission,Mask Effect,Average Secondary Infections
0.42,0.5,0.29,0.01412874457906392
0.42,1.0,0.29,0.0
0.66,0.29,0.29,0.012061070980237223
0.66,0.5,0.29,0.008365740352868344
0.66,1.0,0.29,1.9827816717073892e-05
0.76,0.29,0.29,0.008366896354650452
0.76,0.5,0.29,0.005880173913776217
0.76,1.0,0.29,0.0
0.79,0.29,0.29,0.007438503931337279
0.79,0.5,0.29,0.00524209009853939
0.79,1.0,0.29,4.676993110485501e-06
0.88,0.29,0.29,0.004234095639768693
0.88,0.5,0.29,0.0029378067588854747
0.88,1.0,0.29,3.7095647911415556e-06
